"Data compilation used in calculation of N budget, organized by year of publication. ",,,,,,,,,,,,,,,,,,
Geologic Setting abbreviations:  O = Oceanic; C = Continental; S = Sediment; L = Lithosphere; A = altered (<300°C); M = metamorphosed (>300 °C); M = primary mantle volcanics; X = xenoliths; OIB = Ocean Isl_and_ Basalt; VV= Volcanic volatiles,,,,,,,,,,,,,,,,,,
Rock name abbreviations: BIF = b_and_ed iron formation; MORB = mid-ocean ridge basalt; OIB = ocean isl_and_ basalt; F = fluid; G = gas,,,,,,,,,,,,,,,,,,
"Columns show, in order, References/notes, Sample name as used in original study, geologic setting (assigned by us), rock type (after original study), Age (Ga), δ15N _and_ error, N concentration (ppm), δ 13 C, Yb, Lu, _and_ Rb concentration (ppm), K2O (wt. %), _and_ Ar data where available  ",,,,,,,,,,,,,,,,,,
Full references are in the Supplementary References document. ,,,,,,,,,,,,,,,,,,
Source/Notes,Sample Name,Geologic Setting,Rock Type,Year Published,Age,delta15N,error,N(ppm),delta13C,Yb,Lu,K2O (WT. %),Rb (ppm),40Ar/36Ar,36Ar (mol/g),Ar total (mol/g),N2/36Ar,N2/40Ar
,165,MOS,Muscovite,1986,0.3,,,530,,,,,,,,,,
,169A,MOS,Biotite,1986,0.3,,,1880,,,,,,,,,,
,169B,MOS,Biotite,1986,0.3,,,1360,,,,,480,,,,,
,169B,MOS,Muscovite,1986,0.3,,,530,,,,,,,,,,
,170A,MOS,Biotite,1986,0.3,,,1280,,,,,,,,,,
,170A,MOS,Muscovite,1986,0.3,,,320,,,,,,,,,,
,170B,MOS,Biotite,1986,0.3,,,250,,,,,,,,,,
,172,MOS,Biotite,1986,0.3,,,250,,,,,,,,,,
,177B,MOS,Biotite,1986,0.3,,,840,,,,,320,,,,,
,177B,MOS,Muscovite,1986,0.3,,,270,,,,,,,,,,
,177C,MOS,Muscovite,1986,0.3,,,260,,,,,,,,,,
,177D,MOS,Muscovite,1986,0.3,,,360,,,,,,,,,,
,178B,MOS,Biotite,1986,0.3,,,430,,,,,,,,,,
,178B,MOS,Muscovite,1986,0.3,,,390,,,,,,,,,,
,178C,MOS,Muscovite,1986,0.3,,,80,,,,,,,,,,
,179,MOS,Biotite,1986,0.3,,,715,,,,,,,,,,
,180,MOS,Biotite,1986,0.3,,,240,,,,,,,,,,
,181A,MOS,Biotite,1986,0.3,,,1060,,,,,,,,,,
,181A,MOS,Muscovite,1986,0.3,,,370,,,,,,,,,,
,181B,MOS,Biotite,1986,0.3,,,1100,,,,,,,,,,
,181B,MOS,Muscovite,1986,0.3,,,400,,,,,,,,,,
,182A,MOS,Muscovite,1986,0.3,,,570,,,,,,,,,,
,182B,MOS,Biotite,1986,0.3,,,1370,,,,,,,,,,
,182B,MOS,Muscovite,1986,0.3,,,470,,,,,,,,,,
,183A,MOS,Muscovite,1986,0.3,,,370,,,,,,,,,,
,183B,MOS,Biotite,1986,0.3,,,1330,,,,,315,,,,,
,183B,MOS,Muscovite,1986,0.3,,,310,,,,,,,,,,
,186,MOS,Biotite,1986,0.3,,,180,,,,,,,,,,
,188A,MOS,Biotite,1986,0.3,,,720,,,,,,,,,,
,188B,MOS,Muscovite,1986,0.3,,,1140,,,,,,,,,,
,190,MOS,Biotite,1986,0.3,,,340,,,,,690,,,,,
,191,MOS,Biotite,1986,0.3,,,150,,,,,380,,,,,
,192,MOS,Biotite,1986,0.3,,,500,,,,,450,,,,,
,193,MOS,Biotite,1986,0.3,,,260,,,,,,,,,,
,194,MOS,Muscovite,1986,0.3,,,330,,,,,,,,,,
,196,MOS,Biotite,1986,0.3,,,1450,,,,,,,,,,
,196B,MOS,Biotite,1986,0.3,,,1145,,,,,700,,,,,
,197,MOS,Biotite,1986,0.3,,,620,,,,,,,,,,
,197,MOS,Muscovite,1986,0.3,,,150,,,,,1130,,,,,
,198,MOS,Biotite,1986,0.3,,,300,,,,,,,,,,
,198,MOS,Muscovite,1986,0.3,,,130,,,,,400,,,,,
,200,MOS,Biotite,1986,0.3,,,540,,,,,,,,,,
,200,MOS,Muscovite,1986,0.3,,,200,,,,,,,,,,
,201,MOS,Biotite,1986,0.3,,,90,,,,,810,,,,,
,201,MOS,Muscovite,1986,0.3,,,30,,,,,390,,,,,
,202,MOS,Biotite,1986,0.3,,,160,,,,,555,,,,,
,202,MOS,Muscovite,1986,0.3,,,50,,,,,380,,,,,
,205,MOS,Biotite,1986,0.3,,,410,,,,,390,,,,,
,205,MOS,Muscovite,1986,0.3,,,130,,,,,420,,,,,
,206,MOS,Biotite,1986,0.3,,,450,,,,,,,,,,
Itihara_et_al_1986,1,MOS,Shale,1986,2.6,,,61,,,,,,,,,,
,2,MOS,Shale,1986,2.6,,,54,,,,,,,,,,
,3,MOS,Shale,1986,2.6,,,25,,,,,,,,,,
Haendel_et_al_1986,1,MOS,Phyllite,1986,0.23,5.4,,439,,,,,,,,,,
Ezbergite metasedimentss in Alps,2,MOS,Phyllite,1986,0.23,5.9,,397,,,,,,,,,,
Average of different metamorphic rock grades,3,MOS,Phyllite,1986,0.23,6.8,,245,,,,,,,,,,
,17,MOS,Phyllite,1986,0.23,5.1,,620,,,,,,,,,,
,18a,MOS,Phyllite,1986,0.23,7.8,,550,,,,,,,,,,
,19,MOS,Phyllite,1986,0.23,3.3,,650,,,,,,,,,,
,20,MOS,Phyllite,1986,0.23,3.8,,550,,,,,,,,,,
,74,MOS,Phyllite,1986,0.23,5.6,,571,,,,,,,,,,
,75,MOS,Phyllite,1986,0.23,6.6,,464,,,,,,,,,,
,75b,MOS,Phyllite,1986,0.23,6.5,,223,,,,,,,,,,
,75c,MOS,Phyllite,1986,0.23,4.4,,513,,,,,,,,,,
,a75,MOS,Phyllite,1986,0.23,3.6,,640,,,,,,,,,,
,a78,MOS,Phyllite,1986,0.23,3.2,,550,,,,,,,,,,
,91a,MOS,Phyllite,1986,0.23,5.4,,250,,,,,,,,,,
,11,MOS,Schist,1986,0.23,7.1,,304,,,,,,,,,,
,33,MOS,Schist,1986,0.23,3.4,,261,,,,,,,,,,
,34,MOS,Schist,1986,0.23,9.6,,190,,,,,,,,,,
,35,MOS,Schist,1986,0.23,6.3,,502,,,,,,,,,,
,36,MOS,Schist,1986,0.23,9.8,,214,,,,,,,,,,
,a64,MOS,Schist,1986,0.23,5.3,,188,,,,,,,,,,
,99,MOS,Schist,1986,0.23,10.8,,234,,,,,,,,,,
,101,MOS,Schist,1986,0.23,8.7,,221,,,,,,,,,,
,107b,MOS,Schist,1986,0.23,7.7,,187,,,,,,,,,,
,2203,MOS,Schist,1986,0.23,9.2,,115,,,,,,,,,,
,121,MOS,Schist,1986,0.23,15.0,,95,,,,,,,,,,
,107b,MOS,Gneiss,1986,0.23,15.1,,35,,,,,,,,,,
,2,MOS,Gneiss,1986,0.23,7.7,,59,,,,,,,,,,
,3b,MOS,Gneiss,1986,0.23,6.7,,180,,,,,,,,,,
,8,MOS,Gneiss,1986,0.23,6.9,,62,,,,,,,,,,
,91a,MOS,Gneiss,1986,0.23,7.6,,63,,,,,,,,,,
,82,MOS,Gneiss,1986,0.23,17.0,,40,,,,,,,,,,
,83,MOS,Gneiss,1986,0.23,6.8,,40,,,,,,,,,,
,84,MOS,Gneiss,1986,0.23,7.9,,42,,,,,,,,,,
,85,MOS,Gneiss,1986,0.23,2.5,,339,,,,,,,,,,
,86,MOS,Gneiss,1986,0.23,11.8,,82,,,,,,,,,,
,87,MOS,Gneiss,1986,0.23,6.2,,14,,,,,,,,,,
,88,MOS,Gneiss,1986,0.23,5.1,,40,,,,,,,,,,
,89,MOS,Gneiss,1986,0.23,4.1,,104,,,,,,,,,,
,90,MOS,Gneiss,1986,0.23,5.6,,48,,,,,,,,,,
,97,MOS,Gneiss,1986,0.23,7.6,,78,,,,,,,,,,
,98,MOS,Gneiss,1986,0.23,9.0,,52,,,,,,,,,,
,106,MOS,Gneiss,1986,0.23,9.9,,100,,,,,,,,,,
,122,MOS,Gneiss,1986,0.23,12.7,,25,,,,,,,,,,
Rau_et_al_1987,Marlstone,AOS,Marlstone,1987,0.1,-2.7,,1000,-27.3,,,,,,,,,
Cretaceous marine sediments,Marlstone,AOS,Marlstone,1987,0.1,2.3,,1000,-27.4,,,,,,,,,
from the Atlantic Ocean,Limestone,AOS,Limestone,1987,0.1,1.5,,100,-26.9,,,,,,,,,
,Limestone,AOS,Limestone,1987,0.1,5.6,,100,-26.9,,,,,,,,,
Exley_et_al_1987 ,Atlantic/Pacific,OL,MORB,1987,0.01,5.0,,0.3,,,,,,,,,,
Basalt glasses,Atlantic/Pacific,OL,MORB,1987,0.01,7.0,,0.3,,,,,,,,,,
,Atlantic/Pacific,OL,MORB,1987,0.01,9.0,,0.4,,,,,,,,,,
,Atlantic/Pacific,OL,MORB,1987,0.01,7.0,,0.7,,,,,,,,,,
,Atlantic/Pacific,OL,MORB,1987,0.01,7.0,,1.3,,,,,,,,,,
,Atlantic/Pacific,OL,MORB,1987,0.01,6.0,,2.1,,,,,,,,,,
,Indian Ocean,OL,MORB,1987,0.01,-5.0,,0.5,,,,,,,,,,
,Indian Ocean,OL,MORB,1987,0.01,-3.0,,0.3,,,,,,,,,,
,Lohi Seamount,OIB,Basalt,1987,0.01,15.0,,0.2,,,,,,,,,,
,Lohi Seamount,OIB,Basalt,1987,0.01,12.0,,0.5,,,,,,,,,,
,Lohi Seamount,OIB,Basalt,1987,0.01,13.0,,1.1,,,,,,,,,,
,Kilauea,OIB,Basalt,1987,0.01,9.0,,1.3,,,,,,,,,,
,Lau/Fiji,OIB,Basalt,1987,0.01,5.0,,0.5,,,,,,,,,,
,Lau/Fiji,OIB,Basalt,1987,0.01,11.0,,0.5,,,,,,,,,,
,Lau/Fiji,OIB,Basalt,1987,0.01,14.0,,0.3,,,,,,,,,,
Hall_1987,1,CL,Granite,1987,0.4,,,19,,,,,,,,,,
,2,CL,Granite,1987,0.4,,,2,,,,,,,,,,
,3,CL,Granite,1987,0.4,,,6,,,,,,,,,,
,4,CL,Granite,1987,0.4,,,21,,,,,,,,,,
,5,CL,Granite,1987,0.4,,,27,,,,,,,,,,
,6,CL,Granite,1987,0.4,,,6,,,,,,,,,,
,7,CL,Granite,1987,0.4,,,3,,,,,,,,,,
,8,CL,Granite,1987,0.4,,,130,,,,,,,,,,
,9,CL,Granite,1987,0.4,,,,,,,,,,,,,
,10,CL,Granite,1987,0.4,,,16,,,,,,,,,,
,11,CL,Granite,1987,0.4,,,8,,,,,,,,,,
,12,CL,Granite,1987,0.4,,,25,,,,,,,,,,
,13,CL,Granite,1987,0.4,,,6,,,,,,,,,,
,14,CL,Granite,1987,0.4,,,12,,,,,,,,,,
,15,CL,Granite,1987,0.4,,,121,,,,,,,,,,
,16,CL,Granite,1987,0.4,,,113,,,,,,,,,,
,17,CL,Granite,1987,0.4,,,9,,,,,,,,,,
,18,CL,Granite,1987,0.4,,,11,,,,,,,,,,
,19,CL,Granite,1987,0.4,,,46,,,,,,,,,,
,20,CL,Granite,1987,0.4,,,2,,,,,,,,,,
,21,CL,Granite,1987,0.4,,,37,,,,,,,,,,
,22,CL,Granite,1987,0.4,,,71,,,,,,,,,,
,23,CL,Granite,1987,0.4,,,2,,,,,,,,,,
,24,CL,Granite,1987,0.4,,,4,,,,,,,,,,
,25,CL,Granite,1987,0.4,,,3,,,,,,,,,,
,26,CL,Granite,1987,0.4,,,30,,,,,,,,,,
,27,CL,Granite,1987,0.4,,,16,,,,,,,,,,
,28,CL,Granite,1987,0.4,,,6,,,,,,,,,,
,29,CL,Granite,1987,0.4,,,3,,,,,,,,,,
,30,CL,Granite,1987,0.4,,,12,,,,,,,,,,
,31,CL,Granite,1987,0.4,,,7,,,,,,,,,,
,32,CL,Granite,1987,0.4,,,4,,,,,,,,,,
,33,CL,Granite,1987,0.4,,,7,,,,,,,,,,
,34,CL,Granite,1987,0.4,,,7,,,,,,,,,,
,35,CL,Granite,1987,0.4,,,100,,,,,,,,,,
Greenfield_1988,Control,CS,S_and_stone,1988,,,,13,,,,,,,,,,
Hall_1988,C7,CL,Granite,1988,,,,139,,,,4.66,,,,,,
,C7,CL,Orthoclase,1988,,,,351,,,,13.51,,,,,,
,C7,CL,Muscovite,1988,,,,271,,,,9.92,,,,,,
,C7,CL,Biotite,1988,,,,494,,,,9.46,,,,,,
,C203,ACL,Granite,1988,,,,264,,,,5.22,,,,,,
,C203,ACL,Orthoclase,1988,,,,700,,,,15.39,,,,,,
,C203,ACL,Muscovite,1988,,,,496,,,,10.40,,,,,,
,C221,ACL,Orthoclase,1988,,,,223,,,,4.39,,,,,,
,C221,ACL,Muscovite,1988,,,,537,,,,10.47,,,,,,
Itihara_and_Tainosho_1989,1,CL,Biotite,1989,1.5,,,19,103.0,,,,,,,,,
,2,CL,Biotite,1989,1.5,,,36,108.0,,,,,,,,,
,3,CL,Biotite,1989,1.5,,,16,117.0,,,,,,,,,
,4,CL,Biotite,1989,1.5,,,30,,,,,,,,,,
,5,MOS,Biotite,1989,1.5,,,80,,,,,,,,,,
,6,MOS,Biotite,1989,2,,,84,,,,,,,,,,
,7,MOS,Biotite,1989,2,,,91,,,,,,,,,,
,8,MOS,Biotite,1989,2,,,16,,,,,,,,,,
,9,MOS,Biotite,1989,2.6,,,10,,,,,,,,,,
,10,MOS,Biotite,1989,2.6,,,6,,,,,,,,,,
,11,MOS,Biotite,1989,2.6,,,26,,,,,,,,,,
,12,MOS,Biotite,1989,2.6,,,12,,,,,,,,,,
,13,MOS,Biotite,1989,2.6,,,18,,,,,,,,,,
,14,MOS,Biotite,1989,2.6,,,12,,,,,,,,,,
Sano_and_Pillinger_1990,Onverwacht,AOS,Chert,1990,3.2,1.5,0.5,13,,,,,,,,6.79E-003,,
"N from chert, shown are average of",Marra Mamba,AOS,Chert,1990,2.5,-0.1,1.0,0.65,,,,,,,,8.88E-004,,
step heating analysis,Frere Formation,AOS,Chert,1990,1.8,1.3,0.4,4,,,,,,,,5.36E-003,,
,Beck Spring,AOS,Chert,1990,1.4,0.8,0.5,5,,,,,,,,9.55E-004,,
,Rhynie,AOS,Chert,1990,0.5,5.6,0.5,16,,,,,,,,4.25E-003,,
,Magadi,AOS,Chert,1990,0.01,9.9,0.5,7,,,,,,,,2.33E-003,,
Cooper_and_Bradley_1990,Eskdale,CL,Granite,1990,0.429,,,16,,,,,,,,,,
,Eskdale,CL,Granodiorite,1990,0.427,,,23,,,,,,,,,,
,Ennerdale,CL,Granite,1990,0.42,,,21,,,,,,,,,,
,Shap,CL,Granite,1990,0.394,,,9,,,,,,,,,,
,Skiddaw,CL,Granite,1990,0.392,,,23,,,,,,,,,,
,Threkeld,CL,Granite,1990,0.438,,,29,,,,,,,,,,
Greenfield_1991,1,CS,Soil,1991,,,,281,,,,,,,,,,
Rocks from Antarctica,2,CS,Soil,1991,,,,477,,,,,,,,,,
,3,MOS,Schist,1991,,,,122,,,,,,,,,,
,4,CS,Soil,1991,,,,706,,,,,,,,,,
,5,MOS,Schist,1991,,,,266,,,,,,,,,,
,6,CS,S_and_stone,1991,,,,17,,,,,,,,,,
,7,CS,S_and_stone,1991,,,,101,,,,,,,,,,
,8,MCS,Quartzite,1991,,,,77,,,,,,,,,,
,9,CS,Siltstone,1991,,,,1424,,,,,,,,,,
,10,CS,Soil,1991,,,,55,,,,,,,,,,
,11,MCS,Quartzite,1991,,,,57,,,,,,,,,,
,12,MCS,Quartzite,1991,,,,23,,,,,,,,,,
,13,CL,Granodiorite,1991,,,,85,,,,,,,,,,
,14,CL,Granite,1991,,,,126,,,,,,,,,,
,15,CL,Basalt,1991,,,,27,,,,,,,,,,
,16,CS,S_and_stone,1991,,,,36,,,,,,,,,,
,17,CL,Granodiorite,1991,,,,51,,,,,,,,,,
,18,CL,Basalt,1991,,,,102,,,,,,,,,,
,19,CL,Scoria,1991,,,,56,,,,,,,,,,
,20,CS,Soil,1991,,,,441,,,,,,,,,,
,21,CS,Soil,1991,,,,2310,,,,,,,,,,
,22,CS,Soil,1991,,,,2100,,,,,,,,,,
,23,CL,Granite,1991,,,,36,,,,,,,,,,
Williams_and_Ferrell_1991,1,AOS,Shale,1991,0.07,,,2000,,,,,,,,,,
Pierre shale Colorado,2,AOS,Shale,1991,0.07,,,2500,,,,,,,,,,
values read from graph,3,AOS,Shale,1991,0.07,,,2600,,,,,,,,,,
,4,AOS,Shale,1991,0.07,,,3000,,,,,,,,,,
,5,AOS,Shale,1991,0.07,,,3100,,,,,,,,,,
,6,AOS,Shale,1991,0.07,,,3200,,,,,,,,,,
,7,AOS,Shale,1991,0.07,,,3300,,,,,,,,,,
,8,AOS,Shale,1991,0.07,,,4000,,,,,,,,,,
,9,AOS,Shale,1991,0.07,,,500,,,,,,,,,,
,10,AOS,Shale,1991,0.07,,,3500,,,,,,,,,,
,11,AOS,Shale,1991,0.07,,,3100,,,,,,,,,,
,12,AOS,Shale,1991,0.07,,,3400,,,,,,,,,,
,13,AOS,Shale,1991,0.07,,,3400,,,,,,,,,,
,14,AOS,Shale,1991,0.07,,,3500,,,,,,,,,,
,15,AOS,Shale,1991,0.07,,,3400,,,,,,,,,,
,16,AOS,Shale,1991,0.07,,,3000,,,,,,,,,,
,17,AOS,Shale,1991,0.07,,,3000,,,,,,,,,,
Hall_et_al_1991,EC2,CL,Granite,1991,,,,24,,,,4.19,,,,,,
,EC3,CL,Granite,1991,,,,21,,,,4.31,,,,,,
,EP6,CL,Granite,1991,,,,11,,,,4.36,,,,,,
,EP7,CL,Granite,1991,,,,14,,,,4.50,,,,,,
,ES2,CL,Granite,1991,,,,3,,,,4.46,,,,,,
,ES3,CL,Granite,1991,,,,13,,,,4.34,,,,,,
,ES4,CL,Granite,1991,,,,12,,,,4.30,,,,,,
,ES5,CL,Granite,1991,,,,15,,,,4.15,,,,,,
,ES8a,CL,Granite,1991,,,,9,,,,3.66,,,,,,
,ES14a,CL,Granite,1991,,,,12,,,,3.06,,,,,,
,ESP3,CL,Granite,1991,,,,,,,,4.10,,,,,,
,ESP4,CL,Granite,1991,,,,8,,,,3.92,,,,,,
,ESP6,CL,Granite,1991,,,,2,,,,4.39,,,,,,
,ESP10a,CL,Granite,1991,,,,2,,,,4.87,,,,,,
,PO22,CL,Granite,1991,,,,27,,,,4.14,,,,,,
,PO2,CL,Granite,1991,,,,9,,,,2.34,,,,,,
,PO36i,CL,Granite,1991,,,,13,,,,3.92,,,,,,
,E12LP,CL,Granite,1991,,,,2,,,,6.31,,,,,,
,E12LA,CL,Granite,1991,,,,2,,,,4.91,,,,,,
,E12SP,CL,Granite,1991,,,,8,,,,5.55,,,,,,
,E12SA,CL,Granite,1991,,,,7,,,,4.63,,,,,,
,ES8b,CL,Granite,1991,,,,14,,,,5.98,,,,,,
,ES14b,CL,Granite,1991,,,,16,,,,5.12,,,,,,
,PO48,CL,Granite,1991,,,,16,,,,4.79,,,,,,
,PO57,CL,Granite,1991,,,,16,,,,4.27,,,,,,
,PO66,CL,Granite,1991,,,,19,,,,4.71,,,,,,
,PO74,CL,Granite,1991,,,,39,,,,4.53,,,,,,
,PO304,CL,Granite,1991,,,,13,,,,4.71,,,,,,
,PO52,CL,Granite,1991,,,,31,,,,5.49,,,,,,
,PO65,CL,Granite,1991,,,,24,,,,6.28,,,,,,
,PO53,CL,Granite,1991,,,,25,,,,4.04,,,,,,
,PO301,CL,Granite,1991,,,,35,,,,4.09,,,,,,
,PO63,CL,Granite,1991,,,,14,,,,4.26,,,,,,
,PO408,CL,Granite,1991,,,,13,,,,4.71,,,,,,
,PO412,CL,Granite,1991,,,,7,,,,4.77,,,,,,
,PO404,CL,Granite,1991,,,,7,,,,6.68,,,,,,
,MV7,CL,Granite,1991,,,,17,,,,5.00,,,,,,
,GAV3,CL,Granite,1991,,,,32,,,,4.76,,,,,,
,GAV2,ACL,Granite,1991,,,,66,,,,5.41,,,,,,
,GAV24,ACL,Granite,1991,,,,47,,,,5.64,,,,,,
,GAV40,ACL,Granite,1991,,,,40,,,,4.98,,,,,,
,GAV100,ACL,Granite,1991,,,,50,,,,6.30,,,,,,
,GAV103,ACL,Granite,1991,,,,100,,,,5.85,,,,,,
,GAV106,ACL,Granite,1991,,,,37,,,,6.60,,,,,,
,S2-700,ACL,Granite,1991,,,,112,,,,10.89,,,,,,
,S2-711,ACL,Granite,1991,,,,100,,,,6.90,,,,,,
,S2-744,ACL,Granite,1991,,,,61,,,,6.69,,,,,,
,S2-761,ACL,Granite,1991,,,,138,,,,7.14,,,,,,
,S2-779,ACL,Granite,1991,,,,59,,,,5.46,,,,,,
,S2-790,ACL,Granite,1991,,,,85,,,,6.77,,,,,,
,D2-807,ACL,Granite,1991,,,,35,,,,5.83,,,,,,
,S2-811,ACL,Granite,1991,,,,44,,,,5.46,,,,,,
,S2-836,ACL,Granite,1991,,,,42,,,,5.69,,,,,,
,S2-838,ACL,Granite,1991,,,,36,,,,4.99,,,,,,
,S2-844,ACL,Granite,1991,,,,44,,,,4.89,,,,,,
,S2-861,ACL,Granite,1991,,,,123,,,,5.41,,,,,,
,D2-896,ACL,Granite,1991,,,,35,,,,4.47,,,,,,
,S2-913,ACL,Granite,1991,,,,30,,,,5.00,,,,,,
,S3-883,ACL,Granite,1991,,,,33,,,,5.34,,,,,,
,S3-833.5,ACL,Granite,1991,,,,121,,,,6.86,,,,,,
,S2-892,ACL,Granite,1991,,,,44,,,,5.31,,,,,,
,S2-901,ACL,Granite,1991,,,,61,,,,6.27,,,,,,
,S3-912,ACL,Granite,1991,,,,34,,,,5.01,,,,,,
,MS1-440,ACL,Granite,1991,,,,282,,,,10.33,,,,,,
,MS1-445,ACL,Granite,1991,,,,25,,,,4.88,,,,,,
,MS1-465,ACL,Granite,1991,,,,28,,,,7.65,,,,,,
,MS1-484,ACL,Granite,1991,,,,38,,,,5.50,,,,,,
,MS1-513,ACL,Granite,1991,,,,51,,,,7.83,,,,,,
Bebout_and_Fogel_1992,LA,MOS,Schist,1992,0.1,2.0,0.1,735,,,,,,,,,,
Catalina Schist complex,LA,MOS,Schist,1992,0.1,1.9,0.1,,,,,,,,,,,
,LA,MOS,Schist,1992,0.1,1.3,,695,,,,,,,,,,
LA = Lawsonite-albite,LA,MOS,Schist,1992,0.1,1.1,0.2,465,,,,,,,,,,
BS=Bluschist,LA,MOS,Schist,1992,0.1,1.0,,410,,,,,,,,,,
GG= Gluacophane Greenshc.,LA,MOS,Schist,1992,0.1,2.0,0.1,540,,,,,,,,,,
EA = Epidote-amphibolite,LA,MOS,Schist,1992,0.1,2.0,,790,,,,,,,,,,
A = amphibolite,LA,MOS,Schist,1992,0.1,1.3,0.1,805,,,,,,,,,,
,LA,MOS,Schist,1992,0.1,2.1,0.1,900,,,,,,,,,,
,LA,MOS,Schist,1992,0.1,2.7,,810,,,,,,,,,,
,LA,MOS,Schist,1992,0.1,2.4,,710,,,,,,,,,,
,LA,MOS,Schist,1992,0.1,2.3,0.1,360,,,,,,,,,,
,LA,MOS,Schist,1992,0.1,2.7,0.1,640,,,,,,,,,,
,LA,MOS,Schist,1992,0.1,1.2,,360,,,,,,,,,,
,BS,MOS,Schist,1992,0.1,3.1,0.1,130,,,,,,,,,,
,BS,MOS,Schist,1992,0.1,3.0,0.0,120,,,,,,,,,,
,BS,MOS,Schist,1992,0.1,2.4,,200,,,,,,,,,,
,BS,MOS,Schist,1992,0.1,2.1,0.0,660,,,,,,,,,,
,BS,MOS,Schist,1992,0.1,2.4,0.3,315,,,,,,,,,,
,BS,MOS,Schist,1992,0.1,2.5,0.1,710,,,,,,,,,,
,BS,MOS,Schist,1992,0.1,2.3,0.2,150,,,,,,,,,,
,BS,MOS,Schist,1992,0.1,2.1,0.2,780,,,,,,,,,,
,BS,MOS,Schist,1992,0.1,2.2,,1075,,,,,,,,,,
,BS,MOS,Schist,1992,0.1,2.0,0.1,335,,,,,,,,,,
,BS,MOS,Schist,1992,0.1,2.3,0.1,540,,,,,,,,,,
,BS,MOS,Schist,1992,0.1,2.7,0.1,200,,,,,,,,,,
,BS,MOS,Schist,1992,0.1,2.7,,100,,,,,,,,,,
,BS,MOS,Schist,1992,0.1,2.4,0.2,720,,,,,,,,,,
,GG,MOS,Schist,1992,0.1,3.3,,65,,,,,,,,,,
,GG,MOS,Schist,1992,0.1,2.6,0.2,110,,,,,,,,,,
,GG,MOS,Schist,1992,0.1,3.7,0.1,170,,,,,,,,,,
,GG,MOS,Schist,1992,0.1,4.0,0.0,810,,,,,,,,,,
,GG,MOS,Schist,1992,0.1,1.1,0.1,180,,,,,,,,,,
,EA,MOS,Schist,1992,0.1,5.3,,165,,,,,,,,,,
,EA,MOS,Schist,1992,0.1,4.0,0.1,740,,,,,,,,,,
,EA,MOS,Schist,1992,0.1,4.6,,90,,,,,,,,,,
,EA,MOS,Schist,1992,0.1,4.4,0.1,265,,,,,,,,,,
,EA,MOS,Schist,1992,0.1,3.8,0.1,180,,,,,,,,,,
,EA,MOS,Schist,1992,0.1,3.9,0.0,230,,,,,,,,,,
,EA,MOS,Schist,1992,0.1,4.4,,30,,,,,,,,,,
,A ,MOS,Schist,1992,0.1,3.6,0.2,65,,,,,,,,,,
,A ,MOS,Schist,1992,0.1,3.6,0.5,,,,,,,,,,,
,A ,MOS,Schist,1992,0.1,3.6,0.2,110,,,,,,,,,,
,A ,MOS,Schist,1992,0.1,4.5,0.1,150,,,,,,,,,,
,A ,MOS,Schist,1992,0.1,4.2,0.2,,,,,,,,,,,
,A ,MOS,Schist,1992,0.1,3.6,,1585,,,,,,,,,,
,A ,MOS,Schist,1992,0.1,4.7,0.1,160,,,,,,,,,,
,A ,MOS,Schist,1992,0.1,5.9,0.4,35,,,,,,,,,,
,A ,MOS,Schist,1992,0.1,4.3,,260,,,,,,,,,,
Imbus_et_al_1992,,ACS,Kerogen,1992,1,3.5,,480,-34.1,,,,,,,,,
Mid-Proterozoic,,ACS,Kerogen,1992,1,8.5,,1240,-34.6,,,,,,,,,
lacustrine shale and kerogen,,ACS,Kerogen,1992,1,5.4,,440,-34.7,,,,,,,,,
,,ACS,Kerogen,1992,1,4.4,,420,-34.0,,,,,,,,,
,,ACS,Kerogen,1992,1,3.5,,400,-34.0,,,,,,,,,
,,ACS,Kerogen,1992,1,4.2,,260,-33.3,,,,,,,,,
,,ACS,Kerogen,1992,1,4.4,,460,-33.6,,,,,,,,,
,,ACS,Kerogen,1992,1,3.2,,440,-33.9,,,,,,,,,
,,ACS,Kerogen,1992,1,5.0,,520,-33.4,,,,,,,,,
,,ACS,Kerogen,1992,1,3.1,,480,-32.7,,,,,,,,,
,,ACS,Kerogen,1992,1,3.2,,280,-33.8,,,,,,,,,
,,ACS,Kerogen,1992,1,3.8,,540,-34.1,,,,,,,,,
,,ACS,Kerogen,1992,1,3.9,,1000,-33.6,,,,,,,,,
,,ACS,Kerogen,1992,1,4.8,,910,-33.4,,,,,,,,,
,,ACS,Kerogen,1992,1,2.9,,420,-33.3,,,,,,,,,
,,ACS,Kerogen,1992,1,3.4,,,-33.9,,,,,,,,,
,,ACS,Kerogen,1992,1,3.3,,320,-33.8,,,,,,,,,
,,ACS,Kerogen,1992,1,2.7,,380,-33.2,,,,,,,,,
,,ACS,Kerogen,1992,1,3.2,,440,-33.5,,,,,,,,,
,,ACS,Kerogen,1992,1,3.8,,340,-33.9,,,,,,,,,
,,ACS,Kerogen,1992,1,3.2,,360,-33.6,,,,,,,,,
,,ACS,Kerogen,1992,1,3.3,,340,-33.0,,,,,,,,,
,,ACS,Kerogen,1992,1,3.7,,400,-33.1,,,,,,,,,
,,ACS,Kerogen,1992,1,3.3,,540,-34.1,,,,,,,,,
,,ACS,Kerogen,1992,1,3.8,,440,-33.7,,,,,,,,,
,,ACS,Kerogen,1992,1,3.1,,520,-33.9,,,,,,,,,
