"Data compilation from experiments on N solubility in silicate melts, Fe-metal, and aqueous fluids. ",,,,,,,,,,,,,,,,,
"fO2 are calculated using the constants A, B, and C after Frost, 1991. ",,,,,,,,,,,,,,,,,
"Melt = silicate melt, MeltM = silicate melt in equilibrium with Fe-metal, Metal = Fe-metal, Fluid = aqueous fluid, Dmetal = Metal/MeltM, Dfluid = Fluid/Melt",,,,,,,,,,,,,,,,,
Distribution coefficients are shown for experiments with coexisting Metal/Melt (Dmetal) and Fluid/Melt (Dfluid),,,,,,,,,,,,,,,,,
"Buffers are: MH = magnetite-hematite, IW = iron-wustite, MM = MnO4-MnO , NNO = nickel-nickel oxide, MW = magnetite-wustite , CoCO = cobalt-cobalt oxide",,,,,,,,,,,,,,,,,
Reference,Melt/Fluid/Metal,Run/ID Number,Run time (min),Pressure(GPa),Temp (deg C),Mineral buffer,logfO2 after Frost 1991,NNO fO2 at NNO,delNNO (dif btwn sample and NNO),N (ppm),error,delta15N,DEL15N (diff from starting material),Constants,A,B,C
,Melt,CM-1#15,2880,0.0001,1425,IW+4.1,-5.30,-5.32,0.02,0.06,0.05,,,,,,
,Melt,CM-1#16,2940,0.0001,1425,IW+4.3,-5.10,-5.32,0.22,0.04,0.03,,,,,,
,Melt,CM-1#17,2880,0.0001,1425,IW+8.7,-0.70,-5.32,4.62,0.05,0.03,,,,,,
Roskosz_et_al_2006,Melt,NS2,60,2,1400,,,-4.99,4.99,3500,600,,,,,,
Read from graph,Melt,NS2,60,2,1500,,,-4.18,4.18,4100,600,,,,,,
,Melt,NS2,60,2,1600,,,-3.46,3.46,4500,600,,,,,,
,Melt,NS2,60,2,1700,,,-2.81,2.81,5300,600,,,,,,
,Melt,NS4,60,2,1500,,,-4.18,4.18,5100,600,,,,,,
,Melt,NS4,60,2,1600,,,-3.46,3.46,5200,600,,,,,,
,Melt,NS4,60,2,1700,,,-2.81,2.81,5500,600,,,,,,
,Melt,NS2,60,1,1600,,,-3.70,3.70,3000,600,,,,,,
,Melt,NS2,60,2,1600,,,-3.46,3.46,4300,600,,,,,,
,Melt,NS2,60,3,1600,,,-3.21,3.21,5800,600,,,,,,
,Melt,NS4,60,1,1600,,,-3.70,3.70,2600,600,,,,,,
,Melt,NS4,60,1.7,1600,,,-3.53,3.53,3600,600,,,,,,
,Melt,NS4,60,2,1600,,,-3.46,3.46,5100,600,,,,,,
Mysen_and_Fogel_2010,Melt,NS1.7,30,1.5,1400,IW,-9.24,-5.13,-4.11,2100,100,2.9,0.3,,,,
Starting del15N=2.6,Melt,NS1.7,60,1.5,1400,IW,-9.24,-5.13,-4.11,2800,100,2.23,-0.37,,,,
,Melt,NS2,30,1.5,1400,IW,-9.24,-5.13,-4.11,1300,100,3.6,1,,,,
,Melt,NS2,60,1.5,1400,IW,-9.24,-5.13,-4.11,1600,100,2.65,0.05,,,,
,Melt,NS2.5,30,1.5,1400,IW,-9.24,-5.13,-4.11,5500,100,2.2,-0.4,,,,
,Melt,NS2.5,60,1.5,1400,IW,-9.24,-5.13,-4.11,4100,100,1.86,-0.74,,,,
,Melt,NS4,5,1.5,1400,IW,-9.24,-5.13,-4.11,7500,100,3.1,0.5,,,,
,Melt,NS4,15,1.5,1400,IW,-9.24,-5.13,-4.11,9100,100,2,-0.6,,,,
,Melt,NS4,30,1.5,1400,IW,-9.24,-5.13,-4.11,8200,100,4.2,1.6,,,,
,Melt,NS4,60,1.5,1400,IW,-9.24,-5.13,-4.11,7500,100,0.95,-1.65,,,,
,Melt,NS5,30,1.5,1400,IW,-9.24,-5.13,-4.11,9800,100,2,-0.6,,,,
,Melt,NS5,60,1.5,1400,IW,-9.24,-5.13,-4.11,10600,100,1.21,-1.39,,,,
,Melt,NS2.5,30,1.5,1400,MW,-5.85,-5.13,-0.72,3300,100,4.3,1.7,,,,
,Melt,NS2.5,30,1.5,1400,NNO,-5.13,-5.13,0.00,3100,100,3,0.4,,,,
,Melt,NS2.5,30,1.5,1400,MH,-0.63,-5.13,4.50,2900,100,2.7,0.1,,,,
Li_et_al_2013,Forsterite,LY16,4320,2.5,1200,IW,-11.03,-6.78,-4.24,2.43,0.3,,,,,,
,Forsterite,LY17,4320,3.5,1200,IW,-10.65,-6.47,-4.18,0.55,0.2,,,,,,
,Forsterite,LY28,5760,1.5,1100,NNO,-8.29,-8.29,0.00,,,,,,,,
,Forsterite,LY29,5760,1.5,1100,CoCO,-9.86,-8.29,-1.56,0.64,1,,,,,,
,Forsterite,LY15,4320,1.5,1200,IW,-11.40,-7.10,-4.30,0.69,1,,,,,,
,Forsterite,LY33,5760,3.5,1150,NNO,-7.03,-7.03,0.00,,,,,,,,
,Forsterite,PS8,7200,1.5,1100,IW,-12.72,-8.29,-4.42,,,,,,,,
,Forsterite,PS3,7200,3,1100,IW,-12.12,-7.79,-4.33,,,,,,,,
,Forsterite,LY39,7200,1.5,1100,IW,-12.72,-8.29,-4.42,,,,,,,,
,Forsterite,LY40,1440,1.5,1300,IW,-10.25,-6.05,-4.20,0.48,0.2,,,,,,
,Forsterite,LY24,450,3.5,1300,IW,-9.55,-5.47,-4.08,7.00,2,,,,,,
,Pyrope,LY32,10080,3.5,1000,NNO,-8.96,-8.96,0.00,6.20,8,,,,,,
,Pyrope,LY33,5760,3.5,1150,NNO,-7.03,-7.03,0.00,20.00,0,,,,,,
,Pyrope,PS11,4320,1.5,1100,IW,-12.72,-8.29,-4.42,14.78,10,,,,,,
,diopside,PS05,7200,2.3,1100,IW,-12.40,-8.03,-4.37,28.33,12,,,,,,
,diopside,PS06,7200,2.3,1100,IW,-12.40,-8.03,-4.37,3.63,5,,,,,,
,diopside,LY31,2880,1.5,1100,NNO,-8.29,-8.29,0.00,,,,,,,,
,diopside,LY18,6840,1.5,1100,IW,-12.72,-8.29,-4.42,4.30,1,,,,,,
,diopside,LY34,6912,2.5,1100,NNO,-7.96,-7.96,0.00,,,,,,,,
,diopside,LY30,5760,1.5,1100,CoCO,-9.86,-8.29,-1.56,1.10,2,,,,,,
,diopside,LY35,6912,3.5,1100,NNO,-7.62,-7.62,0.00,5.85,6,,,,,,
,Enstatite,LY23,7200,1.5,1300,IW,-10.25,-6.05,-4.20,83.50,11,,,,,,
,Enstatite,LY22,6480,1.5,1100,IW,-12.72,-8.29,-4.42,12.67,1,,,,,,
,Enstatite,LY41,7200,2.5,1100,NNO,-7.96,-7.96,0.00,1.63,1,,,,,,
,Enstatite,PS7,7200,1.5,1100,IW,-12.72,-8.29,-4.42,25.77,35,,,,,,
,Enstatite,LY21,5040,1.5,1200,IW,-11.40,-7.10,-4.30,3.02,3,,,,,,
,Enstatite,LY36,7200,1.5,1100,NNO,-8.29,-8.29,0.00,,,,,,,,
,Enstatite,LY42,5760,3.5,1100,NNO,-7.62,-7.62,0.00,15.23,25,,,,,,
,Enstatite,PS11,4320,1.5,1100,IW,-12.72,-8.29,-4.42,75.50,36,,,,,,
,Enstatite,PS10,7200,1.5,1100,IW,-12.72,-8.29,-4.42,71.00,1,,,,,,
Li_et_al_2015,Melt,HP-02,20160,0.2,800,None,-12.79,-13.79,1.00,1250.00,220,,,,,,
HP=Haplogranite,Melt,HP-03,20160,0.2,800,None,-12.79,-13.79,1.00,730.00,10,,,,,,
Ba=Basalt,Melt,HP-04,20160,0.2,800,None,-12.79,-13.79,1.00,370.00,10,,,,,,
,Melt,HP-15,5760,0.2,800,IW,-18.81,-13.79,-5.03,2090.00,90,,,,,,
,Melt,HP-16,5760,0.2,800,IW,-18.81,-13.79,-5.03,2930.00,90,,,,,,
,Melt,HP-17,5760,0.2,800,IW,-18.81,-13.79,-5.03,1140.00,90,,,,,,
,Melt,HP-18,5760,0.2,800,IW,-18.81,-13.79,-5.03,710.00,90,,,,,,
,Melt,HP-PC-01,7200,1,800,None,-13.45,-13.45,0.00,1420.00,260,,,,,,
,Melt,HP-PC-02,7200,1,800,None,-13.45,-13.45,0.00,1140.00,260,,,,,,
,Melt,HP-PC-03,5760,1,800,None,-13.45,-13.45,0.00,970.00,260,,,,,,
,Melt,HP-PC-04,4320,1,800,None,-13.45,-13.45,0.00,1590.00,260,,,,,,
,Melt,HP-PC-05,7200,1,800,None,-13.45,-13.45,0.00,1330.00,260,,,,,,
,Melt,HPR-08,20160,0.2,800,None,-12.79,-13.79,1.00,65.00,2,,,,,,
,Melt,HPR-09,20160,0.2,800,None,-12.79,-13.79,1.00,96.00,1,,,,,,
,Melt,HPR-10,20160,0.2,800,None,-12.79,-13.79,1.00,132.00,3,,,,,,
,Melt,HPR-11,20160,0.2,800,None,-12.79,-13.79,1.00,185.00,34,,,,,,
,Melt,HPR-12,20160,0.2,800,None,-12.79,-13.79,1.00,193.00,2,,,,,,
,Melt,HPR-13,20160,0.2,800,None,-12.79,-13.79,1.00,76.00,2,,,,,,
,Melt,Ba-01,8640,0.1,1100,None,-5.76,-8.76,3.00,14.00,2,,,,,,
,Melt,Ba-02,8640,0.1,1100,None,-5.76,-8.76,3.00,9.00,3,,,,,,
,Melt,Ba-03,8640,0.1,1100,None,-5.76,-8.76,3.00,9.00,2,,,,,,
,Melt,Ba-05,8640,0.1,1100,None,-5.76,-8.76,3.00,7,1,,,,,,
,Melt,Ba-06,8640,0.1,1100,None,-5.76,-8.76,3.00,7.00,1,,,,,,
,Melt,Ba-07,8640,0.1,1100,None,-5.76,-8.76,3.00,6.00,0,,,,,,
,Melt,Ba-08,8640,0.1,1100,None,-5.76,-8.76,3.00,6.00,1,,,,,,
,Melt,Ba-09,5760,0.1,1100,None,-5.76,-8.76,3.00,6.00,1,,,,,,
,Melt,Ba-10,5760,0.1,1100,None,-5.76,-8.76,3.00,6.00,0,,,,,,
,Melt,Albite-1,1440,1.5,1200,NNO,-7.10,-7.10,0.00,590.00,10,,,,,,
,Melt,Albite-2,1440,1.5,1200,IW,-11.40,-7.10,-4.30,8080.00,10,,,,,,
,Fluid,HP-02,20160,0.2,800,None,-12.79,-13.79,1.00,150000,38121,,,,,,
,Fluid,HP-03,20160,0.2,800,None,-12.79,-13.79,1.00,102200,2023,,,,,,
,Fluid,HP-04,20160,0.2,800,None,-12.79,-13.79,1.00,129500,5093,,,,,,
,Fluid,HP-15,5760,0.2,800,IW,-18.81,-13.79,-5.03,148390,8952,,,,,,
,Fluid,HP-16,5760,0.2,800,IW,-18.81,-13.79,-5.03,123060,4783,,,,,,
,Fluid,HP-17,5760,0.2,800,IW,-18.81,-13.79,-5.03,100320,11243,,,,,,
,Fluid,HP-18,5760,0.2,800,IW,-18.81,-13.79,-5.03,67450,12070,,,,,,
,Fluid,HP-PC-01,7200,1,800,None,-13.45,-13.45,0.00,1008200,261064,,,,,,
,Fluid,HP-PC-02,7200,1,800,None,-13.45,-13.45,0.00,1003200,323007,,,,,,
,Fluid,HP-PC-03,5760,1,800,None,-13.45,-13.45,0.00,999100,381423,,,,,,
,Fluid,HP-PC-04,4320,1,800,None,-13.45,-13.45,0.00,1001700,228279,,,,,,
,Fluid,HP-PC-05,7200,1,800,None,-13.45,-13.45,0.00,997500,278972,,,,,,
,Fluid,HPR-08,20160,0.2,800,None,-12.79,-13.79,1.00,35100,1690,,,,,,
,Fluid,HPR-09,20160,0.2,800,None,-12.79,-13.79,1.00,65088,1175,,,,,,
,Fluid,HPR-10,20160,0.2,800,None,-12.79,-13.79,1.00,100320,3488,,,,,,
,Fluid,HPR-11,20160,0.2,800,None,-12.79,-13.79,1.00,123950,31808,,,,,,
,Fluid,HPR-12,20160,0.2,800,None,-12.79,-13.79,1.00,150540,2482,,,,,,
,Fluid,HPR-13,20160,0.2,800,None,-12.79,-13.79,1.00,36480,1798,,,,,,
,Fluid,Ba-01,8640,0.1,1100,None,-5.76,-8.76,3.00,154000,31397,,,,,,
,Fluid,Ba-02,8640,0.1,1100,None,-5.76,-8.76,3.00,101700,48154,,,,,,
,Fluid,Ba-03,8640,0.1,1100,None,-5.76,-8.76,3.00,68400,21567,,,,,,
,Fluid,Ba-05,8640,0.1,1100,None,-5.76,-8.76,3.00,34860,7036,,,,,,
,Fluid,Ba-06,8640,0.1,1100,None,-5.76,-8.76,3.00,48300,10871,,,,,,
,Fluid,Ba-07,8640,0.1,1100,None,-5.76,-8.76,3.00,67200,2700,,,,,,
,Fluid,Ba-08,8640,0.1,1100,None,-5.76,-8.76,3.00,99000,20055,,,,,,
,Fluid,Ba-09,5760,0.1,1100,None,-5.76,-8.76,3.00,120000,29000,,,,,,
,Fluid,Ba-10,5760,0.1,1100,None,-5.76,-8.76,3.00,144000,10200,,,,,,
,Fluid,Albite-1,1440,1.5,1200,NNO,-7.10,-7.10,0.00,997100,24472,,,,,,
,Fluid,Albite-2,1440,1.5,1200,IW,-11.40,-7.10,-4.30,808000,80806,,,,,,
,Dfluid,HP-02,20160,0.2,800,None,-12.79,-13.79,1.00,120,,,,,,,
,Dfluid,HP-03,20160,0.2,800,None,-12.79,-13.79,1.00,140,,,,,,,
,Dfluid,HP-04,20160,0.2,800,None,-12.79,-13.79,1.00,350,,,,,,,
,Dfluid,HP-15,5760,0.2,800,IW,-18.81,-13.79,-5.03,71,,,,,,,
,Dfluid,HP-16,5760,0.2,800,IW,-18.81,-13.79,-5.03,42,,,,,,,
,Dfluid,HP-17,5760,0.2,800,IW,-18.81,-13.79,-5.03,88,,,,,,,
,Dfluid,HP-18,5760,0.2,800,IW,-18.81,-13.79,-5.03,95,,,,,,,
,Dfluid,HP-PC-01,7200,1,800,None,-13.45,-13.45,0.00,710,,,,,,,
,Dfluid,HP-PC-02,7200,1,800,None,-13.45,-13.45,0.00,880,,,,,,,
,Dfluid,HP-PC-03,5760,1,800,None,-13.45,-13.45,0.00,1030,,,,,,,
,Dfluid,HP-PC-04,4320,1,800,None,-13.45,-13.45,0.00,630,,,,,,,
,Dfluid,HP-PC-05,7200,1,800,None,-13.45,-13.45,0.00,750,,,,,,,
,Dfluid,HPR-08,20160,0.2,800,None,-12.79,-13.79,1.00,540,,,,,,,
,Dfluid,HPR-09,20160,0.2,800,None,-12.79,-13.79,1.00,678,,,,,,,
,Dfluid,HPR-10,20160,0.2,800,None,-12.79,-13.79,1.00,760,,,,,,,
,Dfluid,HPR-11,20160,0.2,800,None,-12.79,-13.79,1.00,670,,,,,,,
,Dfluid,HPR-12,20160,0.2,800,None,-12.79,-13.79,1.00,780,,,,,,,
,Dfluid,HPR-13,20160,0.2,800,None,-12.79,-13.79,1.00,480,,,,,,,
,Dfluid,Ba-01,8640,0.1,1100,None,-5.76,-8.76,3.00,11000,,,,,,,
,Dfluid,Ba-02,8640,0.1,1100,None,-5.76,-8.76,3.00,11300,,,,,,,
,Dfluid,Ba-03,8640,0.1,1100,None,-5.76,-8.76,3.00,7600,,,,,,,
,Dfluid,Ba-05,8640,0.1,1100,None,-5.76,-8.76,3.00,4980,,,,,,,
,Dfluid,Ba-06,8640,0.1,1100,None,-5.76,-8.76,3.00,6900,,,,,,,
,Dfluid,Ba-07,8640,0.1,1100,None,-5.76,-8.76,3.00,11200,,,,,,,
,Dfluid,Ba-08,8640,0.1,1100,None,-5.76,-8.76,3.00,16500,,,,,,,
,Dfluid,Ba-09,5760,0.1,1100,None,-5.76,-8.76,3.00,20000,,,,,,,
,Dfluid,Ba-10,5760,0.1,1100,None,-5.76,-8.76,3.00,24000,,,,,,,
,Dfluid,Albite-1,1440,1.5,1200,NNO,-7.10,-7.10,0.00,1690,,,,,,,
,Dfluid,Albite-2,1440,1.5,1200,IW,-11.40,-7.10,-4.30,100,,,,,,,
Roskosz_et_al_2013,MeltM,LHDAC-1,,1.8,2227,IW,-6.12,-0.28,-5.84,6000.00,3000,,,,,,
,MeltM,LHDAC-2,,4.4,2227,IW,-5.27,0.20,-5.46,7000.00,2000,,,,,,
,MeltM,LHDAC-3,,8.2,2327,IW,-4.22,1.22,-5.44,8000.00,2000,,,,,,
,MeltM,LHDAC-7,,14.8,2527,IW,-2.27,2.89,-5.16,6000.00,3000,,,,,,
,MeltM,MA-1,,5,2077,IW,-6.66,-0.27,-6.39,7000.00,2000,,,,,,
,MeltM,MA-2,,10,2147,IW,-5.10,0.96,-6.06,6000.00,2000,,,,,,
,Metal,LHDAC-1,,1.8,2227,IW,-6.12,-0.28,-5.84,47000.00,3000,,,,,,
,Metal,LHDAC-2,,4.4,2227,IW,-5.27,0.20,-5.46,66000.00,3000,,,,,,
,Metal,LHDAC-3,,8.2,2327,IW,-4.22,1.22,-5.44,91000.00,3000,,,,,,
,Metal,LHDAC-4,,8.5,2377,IW,-1.91,1.43,-3.33,97000.00,6000,,,,,,
,Metal,LHDAC-5,,12.2,2477,IW,-0.85,2.34,-3.19,103000.00,4000,,,,,,
,Metal,LHDAC-6,,13.5,2527,IW,-0.46,2.67,-3.14,117000.00,6000,,,,,,
,Metal,LHDAC-7,,14.8,2527,IW,-2.27,2.89,-5.16,114000.00,5000,,,,,,
,Metal,LHDAC-8,,17.7,2577,IW,0.47,3.47,-3.00,124000.00,7000,,,,,,
,Metal,MA-1,,5,2077,IW,-6.66,-0.27,-6.39,3000.00,1000,,,,,,
,Metal,MA-2,,10,2147,IW,-5.10,0.96,-6.06,8000.00,5000,,,,,,
,Dmetal,LHDAC-1,,1.8,2227,IW,-6.12,-0.28,-5.84,7.83,,,,,,,
,Dmetal,LHDAC-2,,4.4,2227,IW,-5.27,0.20,-5.46,9.43,,,,,,,
,Dmetal,LHDAC-3,,8.2,2327,IW,-4.22,1.22,-5.44,11.38,,,,,,,
,Dmetal,LHDAC-7,,14.8,2527,IW,-2.27,2.89,-5.16,19.00,,,,,,,
,Dmetal,MA-1,,5,2077,IW,-6.66,-0.27,-6.39,0.43,,,,,,,
,Dmetal,MA-2,,10,2147,IW,-5.10,0.96,-6.06,1.33,,,,,,,
